loc_id,borough_name,zone_name,service_zone,total_pickups,total_dropoffs,total_activity,overall_avg_fare,overall_avg_dist,airport_ratio,cross_borough_ratio,Morning Rush_pickups,Morning Rush_dropoffs,Morning Rush_pickup_share,Morning Rush_net_flow,Midday_pickups,Midday_dropoffs,Midday_pickup_share,Midday_net_flow,Evening Rush_pickups,Evening Rush_dropoffs,Evening Rush_pickup_share,Evening Rush_net_flow,Late Night_pickups,Late Night_dropoffs,Late Night_pickup_share,Late Night_net_flow,Overnight_pickups,Overnight_dropoffs,Overnight_pickup_share,Overnight_net_flow,tidal_reversal,raw_cluster,hierarchical_cluster,cluster_id,cluster_name,cluster_tag,cluster_desc
1,EWR,Newark Airport,EWR,6.0,661.0,667.0,86.96666666666665,7.398333333333333,1.0,0.5,0.0,124.0,0.0,0.9999999193548452,3.0,338.0,0.4999991666680556,0.9824046632725906,1.0,136.0,0.16666638888935187,0.985401387926906,2.0,20.0,0.33333277777870374,0.8181814462811607,0.0,43.0,0.0,0.9999997674419144,0.01459853142793921,4,1,2,Intermodal Airport & Long-Haul Transit,✈️ Regional Gateways & Airport Hubs (JFK/LGA/EWR),"Extremely high average trip distance and fare, high cross-borough transit, and steady all-day departure/arrival volume."
2,Queens,Jamaica Bay,Boro Zone,0.0,1.0,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9999900000999989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9999900000999989,3,2,4,Outer-Borough & Low-Density Periphery,🌳 Outer Boroughs & Peripheral Transit Connectors,"Lower trip density, balanced off-peak demand, high cross-borough connection requirement to central urban cores."
3,Bronx,Allerton/Pelham Gardens,Boro Zone,14.0,39.0,53.0,45.1,14.46642857142857,0.0,0.9285714285714286,7.0,4.0,0.49999964285739795,-0.2727270247936138,4.0,16.0,0.2857140816327988,0.59999970000015,2.0,8.0,0.1428570408163994,0.5999994000006,0.0,10.0,0.0,0.9999990000010001,1.0,1.0,0.0714285204081997,0.0,-0.8727264247942139,1,4,3,Residential Morning Outflow / Commuter Origins,🏡 Residential Neighborhoods & Commuter Communities,Strong negative net flow during morning rush (passengers leave for work) and positive inflow in evening return hours.
4,Manhattan,Alphabet City,Yellow Zone,370.0,1051.0,1421.0,16.90718918918919,2.7944864864864867,0.005405405405405406,0.12432432432432433,23.0,55.0,0.062162160482103775,0.4102563576594413,42.0,199.0,0.1135135104455808,0.6514522551264624,37.0,284.0,0.09999999729729737,0.7694703810133838,186.0,437.0,0.5027026891161436,0.40288923911895286,82.0,76.0,0.22162161563184823,-0.037974681140842965,-0.35921402335394254,0,1,1,Evening Dining & Nightlife Corridor,"🍸 Nightlife, Entertainment & Cultural Districts",High evening and late-night trip concentration. Massive outflow during late hours with high intra-borough social mobility.
5,Staten Island,Arden Heights,Boro Zone,0.0,2.0,2.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.9999950000249999,0.0,0.0,0.0,0.0,0.0,3,2,4,Outer-Borough & Low-Density Periphery,🌳 Outer Boroughs & Peripheral Transit Connectors,"Lower trip density, balanced off-peak demand, high cross-borough connection requirement to central urban cores."
6,Staten Island,Arrochar/Fort Wadsworth,Boro Zone,1.0,4.0,5.0,75.0,14.88,1.0,1.0,1.0,0.0,0.9999900000999989,-0.9999900000999989,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9999900000999989,0.0,3.0,0.0,0.9999966666777778,0.0,0.0,0.0,0.0,-1.9999800001999979,4,3,2,Intermodal Airport & Long-Haul Transit,✈️ Regional Gateways & Airport Hubs (JFK/LGA/EWR),"Extremely high average trip distance and fare, high cross-borough transit, and steady all-day departure/arrival volume."
7,Queens,Astoria,Boro Zone,143.0,639.0,782.0,23.02041958041958,4.164055944055944,0.04895104895104895,0.45454545454545453,28.0,39.0,0.19580418211159564,0.16417907997327164,58.0,137.0,0.40559437723116243,0.4051281843524008,23.0,137.0,0.16083914959166787,0.7124999554687528,27.0,279.0,0.1888111756076101,0.8235293848519809,7.0,47.0,0.04895104552789891,0.7407406035665548,-0.5483208754954811,2,1,0,Core Commercial & Morning Inflow Hub,🏢 Midtown / Lower Manhattan Office & Transit Hubs,High morning dropoff volume and strong positive AM net flow. Sinks workers in morning and disperses passengers in evening rush.
8,Queens,Astoria Park,Boro Zone,0.0,4.0,4.0,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9999900000999989,0.0,1.0,0.0,0.9999900000999989,0.0,1.0,0.0,0.9999900000999989,0.0,1.0,0.0,0.9999900000999989,-0.9999900000999989,3,2,4,Outer-Borough & Low-Density Periphery,🌳 Outer Boroughs & Peripheral Transit Connectors,"Lower trip density, balanced off-peak demand, high cross-borough connection requirement to central urban cores."
9,Queens,Auburndale,Boro Zone,5.0,31.0,36.0,38.1,9.540000000000001,0.0,0.6,0.0,3.0,0.0,0.9999966666777778,5.0,7.0,0.9999980000040001,0.16666652777789354,0.0,7.0,0.0,0.9999985714306123,0.0,10.0,0.0,0.9999990000010001,0.0,4.0,0.0,0.9999975000062501,-1.9047528345694786e-06,2,1,0,Core Commercial & Morning Inflow Hub,🏢 Midtown / Lower Manhattan Office & Transit Hubs,High morning dropoff volume and strong positive AM net flow. Sinks workers in morning and disperses passengers in evening rush.
10,Queens,Baisley Park,Boro Zone,112.0,329.0,441.0,68.10723214285714,13.482142857142858,0.03571428571428571,0.8482142857142857,26.0,32.0,0.23214283641581818,0.1034482580261624,39.0,64.0,0.34821425462372724,0.2427184230370463,27.0,95.0,0.2410714070471958,0.5573770034936882,16.0,127.0,0.14285713010204196,0.7762237219423971,4.0,11.0,0.03571428252551049,0.46666635555576297,-0.4539287454675258,1,4,3,Residential Morning Outflow / Commuter Origins,🏡 Residential Neighborhoods & Commuter Communities,Strong negative net flow during morning rush (passengers leave for work) and positive inflow in evening return hours.
11,Brooklyn,Bath Beach,Boro Zone,17.0,25.0,42.0,45.129411764705885,9.537647058823529,0.0,0.5882352941176471,2.0,3.0,0.11764698961941787,0.19999960000080003,9.0,8.0,0.5294114532873805,-0.058823494809708936,3.0,8.0,0.1764704844291268,0.45454504132268975,2.0,5.0,0.11764698961941787,0.4285708163274053,1.0,1.0,0.058823494809708936,0.0,-0.2545454413218897,2,1,0,Core Commercial & Morning Inflow Hub,🏢 Midtown / Lower Manhattan Office & Transit Hubs,High morning dropoff volume and strong positive AM net flow. Sinks workers in morning and disperses passengers in evening rush.
12,Manhattan,Battery Park,Yellow Zone,94.0,138.0,232.0,23.31382978723404,4.1011702127659575,0.0,0.1276595744680851,2.0,57.0,0.021276593481213458,0.9322032318299607,54.0,60.0,0.5744680239927634,0.05263157433056365,33.0,15.0,0.35106379244002206,-0.37499992187501624,5.0,4.0,0.05319148370303365,-0.11111098765445816,0.0,2.0,0.0,0.9999950000249999,1.3072031537049769,0,0,1,Evening Dining & Nightlife Corridor,"🍸 Nightlife, Entertainment & Cultural Districts",High evening and late-night trip concentration. Massive outflow during late hours with high intra-borough social mobility.
13,Manhattan,Battery Park City,Yellow Zone,1787.0,2155.0,3942.0,22.516166759932847,4.256524902070509,0.03469501958589815,0.10240626748740907,216.0,361.0,0.12087297078414679,0.25129982233449183,644.0,724.0,0.36038052400458576,0.058479531736260734,651.0,508.0,0.36429770361333125,-0.12338222499238806,269.0,520.0,0.15053161639321982,0.3181242038260557,7.0,42.0,0.003917179608745497,0.7142855685131493,0.3746820473268799,0,0,1,Evening Dining & Nightlife Corridor,"🍸 Nightlife, Entertainment & Cultural Districts",High evening and late-night trip concentration. Massive outflow during late hours with high intra-borough social mobility.
